Latitude,Longitude,Parity,Source,Tmax,Tmin,Tavg,Wind,Prec,Vapr,Srad,Elev
42.8,-6.833,O,merged_table,11.9083334,3.174999952,7.541666572,4.924999952,117.3333333,0.743333335,13821.83333,1480
42.9952,-6.4273,O,merged_table,10.39166667,2.13333333,6.26666665,5.550000032,119.5,0.688333335,13727.66667,1684
43.0613,-5.2314,O,merged_table,9.766666671,1.874999998,5.833333328,5.299999952,101.3333333,0.662499999,13819.83333,1797
43.3177,-4.4643,O,merged_table,17.18333348,8.299999972,12.74166667,2.974999984,73.16666667,1.196666673,12621.83333,254
43.1465,-3.4469,O,merged_table,14.35833327,5.408333406,9.89166673,3.458333353,85.66666667,0.937500015,13006.66667,919
43.3201,-1.7274,O,merged_table,17.21666662,9.724999984,13.45833321,3.741666655,110.25,1.201666673,12625,190
42.8051,-0.4187,O,merged_table,9.866666461,-0.266666636,4.791666611,4.583333373,100.9166667,0.642499998,14156.91667,1814
43.1233,-0.3492,O,merged_table,17.66666651,8.708333413,13.19999985,3.083333333,92.75,1.072499985,13185.16667,378
42.8897,-0.4274,O,merged_table,13.25833317,4.049999994,8.649999966,3.866666675,82.66666667,0.830833326,13892.66667,1141
42.9301,0.1347,O,merged_table,6.991666585,-2.266666631,2.358333339,5.916666627,124.8333333,0.515000003,14385.5,2351
42.75,0.8491,O,merged_table,7.766666648,-2.166666632,2.783333421,6.450000048,122.1666667,0.51,14760.08333,2347
42.78,0.8824,O,merged_table,6.800000074,-2.941666692,1.924999992,6.600000024,124.25,0.50916667,14699.25,2376
42.733,0.9667,O,merged_table,9.141666703,-0.799999941,4.158333401,5.50000004,107.4166667,0.6225,14703.41667,1883
52.4789,-2.9057,V,merged_table,12.65833322,4.991666704,8.833333333,3.533333321,74.08333333,0.968333339,9681.5,185
48,-2.17,V,merged_table,14.40000002,7.916666627,11.15833334,3.666666687,71.58333333,1.079999998,11771.33333,157
45.4867,2.9089,V,merged_table,10.60833337,2.13333338,6.374999979,4.416666706,84,0.770000008,12806.08333,1209
44.45,3.72,V,merged_table,8.899999956,1.683333347,5.300000079,6.341666698,127.4166667,0.704166663,13767.25,1438
